"연도","시도","시군구","농업용","생활용","산업용","유역","지점"
2021,"충청남도","논산시",26653320,9316445,817629,"금강","부여"
2021,"충청남도","부여군",9800963,6416420,288652,"금강","부여"
2021,"충청북도","음성군",19154072,13483928,6612449,"한강","충주"
2022,"강원도","삼척시",4662959,16135266,1029452,"한강","동해"
2022,"강원도","태백시",287612,428028,25000,"한강","태백"
2022,"강원도","횡성군",11531153,9799458,623242,"한강","홍천"
2022,"경기도","오산시",839830,889721,671602,"한강","수원"
2022,"경기도","파주시",7163371,23497223,2468129,"한강","파주"
2022,"경기도","포천시",5264100,9399345,1242124,"한강","동두천"
2022,"경상남도","거창군",13048962,4023364,804810,"낙동강","거창"
2022,"경상남도","의령군",14642457,5403051,1255729,"낙동강","의령군"
2022,"경상남도","함양군",6781275,4106030,609518,"낙동강","함양군"
2022,"경상북도","경주시",3220058,7853382,1461197,"낙동강","경주시"
